name,location
Statue of Liberty New,York
"Eiffel Tower Paris,",France
"Big Ben London,",England
Leaning Tower of Pisa,Italy
"Colosseum Rome,",Italy
"Empire State Building, New York",City
Hollywood Sign,California
"Golden Gate Bridge San Francisco,",California
"London Eye London,",England
St. Peter's Basilica Vatican,City
"Sagrada Familia Barcelona,",Spain
Little Mermaid,Denmark
Great Wall of China,China
Sydney Opera House,Australia
"St. Basil's Cathedral Moskva,",Russia
"Arc de Triomphe Paris,",France
Berlin Wall,Germany
Stonehenge United,Kingdom
Mount Kilimanjaro,Tanzania
Uluru - Ayers Rock,Australia
Taj Mahal,India
Pyramids of Giza,Egypt
The Great Sphinx,Egypt
"Tower Bridge London,",England
The Forbidden City,China
Mount Everest,Tibet/Nepal
"Capitol Hill Washington,",D.C.
"Willis Tower (Sears Tower) Chicago,",IL
Brooklyn Bridge New,York
Burj Al Arab Hotel United Arab,Emirates
"Trevi Fountain Rome,",Italy
"St. Mark's Basilica & Campanile Venice,",Italy
Times Square New,York
The White House Washington,D.C.
"Louvre Museum Paris,",France
Manneken Pis,Brussels
"Buckingham Palace London,",England
"Neuschwanstein Castle Schwangau,",Germany
"Matterhorn Swiss Alps,",Switzerland
"Florence Cathedral Florence,",Italy
Edinburgh Castle United,Kingdom
Machu Picchu,Peru
"Christ the Redeemer Rio De Janeiro,",Brazil
"CN Tower Toronto,",Canada
The Grand Canyon,Arizona
Niagara Falls Canada & New,York
"Burj Khalifa Dubai, United Arab",Emirates
Tower of London,England
Madrid Palace,Spain
Mont St. Michel,France
Las Vegas,Nevada
Petronas Twin Towers,Malaysia
Windsor Castle United,Kingdom
Sacre Coeur,Paris
"St. Paul's Cathedral London,",England
Central Park New,York
Mount Rushmore South,Dakota
Mount Fuji,Japan
"Rialto Bridge Venice,",Italy
Arena Di Verona,Italy
"Space Needle Seattle,",Washington
Westminster Abbey,England
Rock of Gibraltar,Spain
"Alcatraz San Francisco,",California
White Cliffs of Dover United,Kingdom
Iguazu National Park,Argentina
Washington Monument Washington,D.C.
"The Shard London,",England
"The Gherkin London,",England
Temple of Luxor,Egypt
"Brandenburg Gate Berlin,",Germany
Cologne Cathedral,Germany
"Pentagon Washington,",D.C.
Mount Vesuvius,Italy
Mayan Pyramids of Chichen Itza,Mexico
"Cloud Gate Chicago,",IL
Angkor Wat,Cambodia
Victoria Falls Zambia/South,Africa
Terracotta Warriors,China
"Potala Palace Lhasa,",China
Yellowstone National Park,USA
"Hagia Sophia Istanbul,",Turkey
Oriental Pearl Tower,China
"Ponte Vecchio Florence,",Italy
Wailing Wall,Jerusalem
Loch Ness United,Kingdom
Mecca Saudi,Arabia
"Sydney Harbor Bridge Sydney,",Australia
Sistine Chapel Vatican,City
"Spanish Steps Rome,",Italy
"Bridge of Sighs Venice,",Italy
"Pompidou Center Paris,",France
"Summer Palace Beijing,",China
"Mount Etna Catania,",Italy
Lascaux Caves,France
Bryce Canyon National Park,Utah
Great Buddha,Japan
"Freedom Tower New York,",NY
Kronborg Castle,Denmark
"Gateway Arch St. Louis,",Missouri
Shanghai World Financial Center,China
"Moulin Rouge Paris,",France
Redwood National Park,California
Mill Complex at Kinderdijk,Netherlands
Monument Valley,Arizona
"Tsarskoye Selo St Petersburg,",Russia
"Juliet's Balcony Verona,",Italy
Berlin Cathedral,Germany
Helsinki Cathedral,Finland
Tivoli Gardens,Denmark
Brighton Pier United,Kingdom
Disneyland Paris,France
Giant's Causeway United,Kingdom
Everglades National Park,Florida
"Papal Palace Avignon,",France
Pont Du Gard,France
"Festung Hohensalzburg Salzburg,",Austria
Bran Castle,Romania
Prague Castle Czech,Republic
Chapel Bridge,Switzerland
"Piazza Del Campo Siena,",Italy
"Table Mountain Cape Town, South",Africa
Guggenheim Museum (Bilbao),Spain
"Hollywood Walk of Fame Los Angeles,",California
Death Valley,California
"Winter Palace St Petersburg,",Russia
Amalienborg Palace,Denmark
Ellis Island Immigration Museum New,York
"British Museum London,",England
Oxford University United,Kingdom
Blue Lagoon,Iceland
"Kremlin Moscow,",Russia
"Blue Mosque Istanbul,",Turkey
Piccadilly Circus United,Kingdom
"Trafalgar Square London,",England
Millau Bridge,France
