idiom,id,source,prompt_comp_ind,similarity_ind,frequent_target_ind,hard_to_guess
for crying out loud,1a817c02cff2bb96da5e,MAGPIE,True,False,True,False
turn a blind eye,b05e010ca3576fbf6e81,LIdiom,False,False,True,True
get to grips with,3fc547c5c6ff82414ed4,MAGPIE,True,False,False,False
grind to a halt,a4a685a759bf64fcfcf8,MAGPIE,False,False,True,True
let bygones be bygones,ca6709254d9ba146d986,EPIC,False,True,True,False
every man for himself,27642042881772d30f95,MAGPIE,False,False,False,True
sign of the times,990ab4d0131058f4f13e,MAGPIE,False,False,True,True
at the end of the day,0b3366f10125330ca394,MAGPIE,False,False,False,True
come to terms with,5f2ffb8c0f006f7746eb,MAGPIE,False,False,False,True
with a view to,09dce6abba8508a64397,MAGPIE,False,False,False,True
in the long run,5d25e1171453e85f7d96,MAGPIE,False,False,False,True
keep a low profile,b6be25f2b85dea2d254c,MAGPIE,False,False,True,True
tell it like it is,4acb44a069ed9bc2a831,MAGPIE,True,False,False,False
sing the praises of,c45c1d6680632578dbd3,MAGPIE,False,False,False,True
rub someone up the wrong way,c930865d79b437870993,MAGPIE,True,False,False,False
in the driving seat,32bfaa1f8fb724d8ae97,MAGPIE,False,False,True,True
fall by the wayside,0c374594354590de27a0,MAGPIE,False,False,True,True
to the tune of,4c3dbe176acf00189fb5,MAGPIE,False,False,False,True
take someone's word for it,0ec7c2c44c99bab42621,MAGPIE,True,False,False,False
on the spur of the moment,b95de4af1d17bd263f0d,MAGPIE,True,False,True,False
the grass is always greener,0166aa76890a6ece5fdf,MAGPIE,True,False,True,False
from rags to riches,6b21b733d7aa4954cac4,MAGPIE,False,False,True,True
in no uncertain terms,d3052b26b53aaad3c90d,MAGPIE,False,False,True,True
read between the lines,eb1b300b7c7d58778ca3,MAGPIE,False,False,True,True
lead someone up the garden path,7bfad6e4117edf01d68c,MAGPIE,False,False,True,True
for the time being,2a019b7355b41dc9f097,MAGPIE,False,False,False,True
take a dim view of,b639ad40ce0307a30b08,MAGPIE,False,False,False,True
all in a day's work,b838ad09763730dc0e6e,MAGPIE,True,False,False,False
at a snail's pace,52e1ebc80b48320067c2,MAGPIE,True,False,True,False
go hand in hand,a48a096e34f8774a66dc,MAGPIE,False,True,True,False
play hard to get,716e8a32a73975adaea6,MAGPIE,False,False,False,True
grin like a Cheshire cat,2aeb79786a95d20461c7,MAGPIE,True,False,True,False
at a loose end,b41525a6b7d777f72f2d,MAGPIE,False,False,False,True
come to think of it,dd84d27597f61440c12d,MAGPIE,True,False,False,False
to all intents and purposes,6b603ad365892231dff4,MAGPIE,True,False,True,False
back to square one,c9087fd2f6295eaf7333,LIdiom,True,False,False,False
kill the goose that lays the golden eggs,0ded6af647f3aa65a14c,MAGPIE,True,False,True,False
fall on deaf ears,32216885c332f4e447be,MAGPIE,False,False,True,True
by hook or by crook,62c5541aea4e3084a65f,MAGPIE,False,False,True,True
go from strength to strength,a36c081069f23384768b,MAGPIE,True,True,True,False
in this day and age,117f3e4a0ffb00a06afd,MAGPIE,False,False,True,True
fight tooth and nail,aa6b153e3f11bf8639f5,MAGPIE,True,False,True,False
wipe the floor with,534162182a90b5af2fde,MAGPIE,False,False,False,True
come to grips with,54d253d1af128c8cd5fe,MAGPIE,True,False,False,False
pull out all the stops,7d181d0a7668b58772cd,MAGPIE,False,False,True,True
keep a lid on,e6ecbf95cd7c909f3113,MAGPIE,False,False,False,True
few and far between,59ff987cd4430ad78e2f,MAGPIE,False,False,False,True
great minds think alike,ccc418bda431d1c37951,EPIC,False,False,True,True
all hell broke loose,2fab6adbd1b70093bca0,MAGPIE,False,False,True,True
get the better of,987ec9dd838f79f8cfb6,MAGPIE,False,False,False,True
high as a kite,1bb338cac86341ca6f2c,MAGPIE,False,False,True,True
make head or tail of,31f8322d4e2a29eeff66,MAGPIE,False,False,False,True
as luck would have it,ce9bf82a51dd14dbf62c,MAGPIE,False,False,False,True
err on the side of,4a5ee885048576e59eaf,MAGPIE,False,False,False,True
your guess is as good as mine,f5a39276811f680fc96e,LIdiom,False,False,False,True
bring the house down,b3223a3d9c891fcba965,MAGPIE,False,False,False,True
follow in someone's footsteps,fc3e8d5b117f04b237ec,MAGPIE,False,False,True,True
set the wheels in motion,fb650756bf91ad70bfc1,MAGPIE,False,False,True,True
sign on the dotted line,2bd4b2ed267ef8c1ccc1,MAGPIE,True,False,False,False
pour cold water on,fea9b476fc440987de84,MAGPIE,False,False,False,True
break the back of,ec9fe9aeaeda04919ef5,MAGPIE,False,False,False,True
for the hell of it,89bd1bfc8849bb7d84e0,MAGPIE,True,False,False,False
hold the purse strings,01799e512519c20314aa,MAGPIE,False,False,True,True
fall between two stools,26b730a9168a5f6c82b6,LIdiom,False,False,True,True
smoke like a chimney,6c3326f37f4e521ac647,MAGPIE,False,False,True,True
cuckoo in the nest,4ca351211744d609aed9,MAGPIE,False,False,True,True
beat swords into ploughshares,cde00cafd988c36b84eb,MAGPIE,False,False,True,True
add insult to injury,a0d5de17ffc82adc8dd3,LIdiom,False,False,True,True
as the crow flies,0cc86b16139afdff68b9,MAGPIE,False,False,True,True
"been there, done that",336098fe3d00927069be,MAGPIE,False,False,False,True
pay through the nose,fdcf7c5afcfff007eb6e,MAGPIE,False,False,True,True
the die is cast,f6e66e45b7c47a1c84ec,MAGPIE,False,False,True,True
from the cradle to the grave,571a3c0ee8a1fdd084f9,MAGPIE,False,False,True,True
take the bull by the horns,b2ccdd714f4522712be1,MAGPIE,False,False,True,True
over my dead body,2747f3cfaeab88c67d3b,LIdiom,True,False,True,False
at the drop of a hat,e80d747c76fd2c8266cf,LIdiom,True,False,True,False
grin and bear it,9313b923c96159ebf91a,MAGPIE,False,False,False,True
let your hair down,c5bdd29e54aa4256709a,MAGPIE,False,False,False,True
put a sock in it,dcacb7b61ea62cca501c,MAGPIE,False,False,False,True
when push comes to shove,8ebb6f78b7c255eec5ea,MAGPIE,False,False,True,True
call a spade a spade,fcf5202476e75d39bf58,MAGPIE,False,True,True,False
